정기변경일,직전정기변경일,종목코드,종목명,케이스,이전섹터,신규섹터,이전비중_T1,신규비중_T,비중변화량(Δw)_회귀기준,이전비중_prevRebal,이전AUM_cur(백만원),신규AUM_cur(백만원),이전금액(백만원),신규금액(백만원),차이(백만원),차이(억원),이득여부,전날종가(T-1),당일종가(T),종목수익률,코스피수익률(벤치마크),초과수익률,초과승리여부
2023-09-14,2023-03-09,A005180,빙그레,소형주→중형주,소형주,중형주,0.00575641,0.0022921,-0.00346431,0.00483807,164423,2926654,795.5,6708.2,5912.7,59.13,1,52500.0,54200.0,0.032381,0.015067,0.017314,1
2023-09-14,2023-03-09,A002790,아모레퍼시픽홀딩스,대형주→중형주,대형주,중형주,0.00164673,0.01122112,0.00957439,0.00211742,81627209,2926654,172839.5,32840.3,-139999.1,-1399.99,0,32250.0,31700.0,-0.017054,0.015067,-0.032121,0
2023-09-14,2023-03-09,A210980,SK디앤디,소형주→중형주,소형주,중형주,0.00586578,0.00220523,-0.00366054,0.00523813,164423,2926654,861.3,6454.0,5592.7,55.93,1,23750.0,23150.0,-0.025263,0.015067,-0.04033,0
2023-09-14,2023-03-09,A004430,송원산업,중형주→소형주,중형주,소형주,0.00174165,0.00492549,0.00318385,0.00204318,2926654,164423,5979.7,809.9,-5169.8,-51.7,0,17480.0,17760.0,0.016018,0.015067,0.000951,1
2023-09-14,2023-03-09,A028670,팬오션,대형주→중형주,대형주,중형주,0.00142838,0.0099136,0.00848522,0.00216338,81627209,2926654,176590.3,29013.7,-147576.6,-1475.77,0,4315.0,4320.0,0.001159,0.015067,-0.013908,0
2023-09-14,2023-03-09,A042660,한화오션,중형주→대형주,중형주,대형주,0.03115225,0.00449176,-0.02666049,0.01016148,2926654,81627209,29739.1,366650.0,336910.9,3369.11,1,34600.0,34400.0,-0.00578,0.015067,-0.020847,0
2023-09-14,2023-03-09,A064350,현대로템,중형주→대형주,중형주,대형주,0.01318539,0.00195822,-0.01122717,0.01180027,2926654,81627209,34535.3,159844.0,125308.7,1253.09,1,29100.0,29800.0,0.024055,0.015067,0.008988,1
2023-09-14,2023-03-09,A010120,LS ELECTRIC,중형주→대형주,중형주,대형주,0.01168238,0.00173759,-0.00994478,0.00657648,2926654,81627209,19247.1,141835.0,122587.9,1225.88,1,93800.0,96200.0,0.025586,0.015067,0.010519,1
2023-09-14,2023-03-09,A011000,진원생명과학,중형주→소형주,중형주,소형주,0.00119431,0.00334232,0.002148,0.00235312,2926654,164423,6886.8,549.6,-6337.2,-63.37,0,3700.0,3720.0,0.005405,0.015067,-0.009661,0
2023-09-14,2023-03-09,A042700,한미반도체,중형주→대형주,중형주,대형주,0.02145803,0.00315299,-0.01830504,0.00654652,2926654,81627209,19159.4,257369.7,238210.3,2382.1,1,53100.0,53800.0,0.013183,0.015067,-0.001884,0
2023-09-14,2023-03-09,A298690,에어부산,중형주→소형주,중형주,소형주,0.0014527,0.00406378,0.00261108,0.00203562,2926654,164423,5957.6,668.2,-5289.4,-52.89,0,3000.0,3015.0,0.005,0.015067,-0.010067,0
2023-09-14,2023-03-09,A139480,이마트,대형주→중형주,대형주,중형주,0.00122904,0.00858006,0.00735101,0.0021118,81627209,2926654,172380.1,25110.9,-147269.2,-1472.69,0,71200.0,71700.0,0.007022,0.015067,-0.008044,0
2023-09-14,2023-03-09,A016710,대성홀딩스,중형주→소형주,중형주,소형주,0.00082092,0.00232963,0.00150872,0.00880055,2926654,164423,25756.2,383.0,-25373.1,-253.73,0,12290.0,12530.0,0.019528,0.015067,0.004461,1
2023-09-14,2023-03-09,A005440,현대지에프홀딩스,중형주→소형주,중형주,소형주,0.00101879,0.00280259,0.0017838,0.00301521,2926654,164423,8824.5,460.8,-8363.7,-83.64,0,3845.0,3800.0,-0.011704,0.015067,-0.02677,0
2023-09-14,2023-03-09,A004890,동일산업,중형주→소형주,중형주,소형주,0.00058296,0.00158902,0.00100606,0.00222466,2926654,164423,6510.8,261.3,-6249.5,-62.5,0,57900.0,56700.0,-0.020725,0.015067,-0.035792,0
2023-09-14,2023-03-09,A322000,HD현대에너지솔루션,중형주→소형주,중형주,소형주,0.00132981,0.00385682,0.00252701,0.00262208,2926654,164423,7673.9,634.2,-7039.8,-70.4,0,28600.0,29800.0,0.041958,0.015067,0.026891,1
2023-09-14,2023-03-09,A014830,유니드,중형주→소형주,중형주,소형주,0.00176723,0.00497379,0.00320656,0.00232185,2926654,164423,6795.3,817.8,-5977.5,-59.77,0,62900.0,63600.0,0.011129,0.015067,-0.003938,0
2023-09-14,2023-03-09,A286940,롯데이노베이트,중형주→소형주,중형주,소형주,0.00166507,0.00467027,0.0030052,0.00198575,2926654,164423,5811.6,767.9,-5043.7,-50.44,0,26050.0,26250.0,0.007678,0.015067,-0.007389,0
2023-09-14,2023-03-09,A033270,유나이티드제약,소형주→중형주,소형주,중형주,0.00508069,0.00192821,-0.00315248,0.00413399,164423,2926654,679.7,5643.2,4963.5,49.63,1,28100.0,27650.0,-0.016014,0.015067,-0.031081,0
2023-09-14,2023-03-09,A017390,서울가스,중형주→소형주,중형주,소형주,0.00138038,0.00389426,0.00251388,0.01019461,2926654,164423,29836.1,640.3,-29195.8,-291.96,0,66500.0,67400.0,0.013534,0.015067,-0.001533,0
2023-09-14,2023-03-09,A357120,코람코라이프인프라리츠,소형주→중형주,소형주,중형주,0.00545913,0.00210935,-0.00334978,0.0051993,164423,2926654,854.9,6173.3,5318.5,53.18,1,5540.0,5550.0,0.001805,0.015067,-0.013262,0
2023-09-14,2023-03-09,A002710,TCC스틸,소형주→중형주,소형주,중형주,0.01423802,0.00562092,-0.0086171,0.00462604,164423,2926654,760.6,16450.5,15689.8,156.9,1,48800.0,49950.0,0.023566,0.015067,0.008499,1
2023-09-14,2023-03-09,A007070,GS리테일,대형주→중형주,대형주,중형주,0.00154656,0.01067648,0.00912991,0.00199874,81627209,2926654,163151.6,31246.3,-131905.3,-1319.05,0,23850.0,23750.0,-0.004193,0.015067,-0.01926,0
2023-09-14,2023-03-09,A112610,씨에스윈드,대형주→중형주,대형주,중형주,0.0014859,0.01078966,0.00930376,0.00205518,81627209,2926654,167758.4,31577.6,-136180.8,-1361.81,0,56900.0,59600.0,0.047452,0.015067,0.032385,1
2023-09-14,2023-03-09,A077500,유니퀘스트,소형주→중형주,소형주,중형주,0.00477364,0.00192991,-0.00284374,0.00342408,164423,2926654,563.0,5648.2,5085.2,50.85,1,16390.0,17180.0,0.0482,0.015067,0.033133,1
2023-09-14,2023-03-09,A093050,LF,중형주→소형주,중형주,소형주,0.00170675,0.00498385,0.0032771,0.00213953,2926654,164423,6261.7,819.5,-5442.2,-54.42,0,14060.0,14750.0,0.049075,0.015067,0.034009,1
2023-09-14,2023-03-09,A005950,이수화학,중형주→소형주,중형주,소형주,0.00158292,0.00444017,0.00285725,0.00357635,2926654,164423,10466.7,730.1,-9736.7,-97.37,0,16780.0,16910.0,0.007747,0.015067,-0.00732,0
2023-09-14,2023-03-09,A001230,동국홀딩스,중형주→소형주,중형주,소형주,0.00073192,0.00199864,0.00126672,0.00535806,2926654,164423,15681.2,328.6,-15352.6,-153.53,0,11070.0,10860.0,-0.01897,0.015067,-0.034037,0
2023-09-14,2023-03-09,A001570,금양,중형주→대형주,중형주,대형주,0.02819651,0.00420805,-0.02398846,0.01145295,2926654,81627209,33518.8,343491.5,309972.7,3099.73,1,117000.0,120400.0,0.02906,0.015067,0.013993,1
2023-09-14,2023-03-09,A011810,STX,소형주→중형주,소형주,중형주,0.01243851,0.00479745,-0.00764106,0.00167424,164423,2926654,275.3,14040.5,13765.2,137.65,1,36250.0,36250.0,0.0,0.015067,-0.015067,0
2023-09-14,2023-03-09,A161000,애경케미칼,소형주→중형주,소형주,중형주,0.00759679,0.00292377,-0.00467303,0.004784,164423,2926654,786.6,8556.9,7770.3,77.7,1,14030.0,14000.0,-0.002138,0.015067,-0.017205,0
2023-09-14,2023-03-09,A363280,티와이홀딩스,중형주→소형주,중형주,소형주,0.00140689,0.0039918,0.00258491,0.00265997,2926654,164423,7784.8,656.3,-7128.5,-71.28,0,6720.0,6850.0,0.019345,0.015067,0.004278,1
2023-09-14,2023-03-09,A001060,JW중외제약,소형주→중형주,소형주,중형주,0.0106365,0.00411223,-0.00652427,0.00529912,164423,2926654,871.3,12035.1,11163.8,111.64,1,41850.0,41950.0,0.002389,0.015067,-0.012677,0
2023-09-14,2023-03-09,A001470,삼부토건,소형주→중형주,소형주,중형주,0.00841172,0.00329257,-0.00511915,0.0028589,164423,2926654,470.1,9636.2,9166.1,91.66,1,3700.0,3755.0,0.014865,0.015067,-0.000202,0
2023-09-14,2023-03-09,A103590,일진전기,소형주→중형주,소형주,중형주,0.0048411,0.00191652,-0.00292457,0.00225872,164423,2926654,371.4,5609.0,5237.6,52.38,1,11730.0,12040.0,0.026428,0.015067,0.011361,1
2023-09-14,2023-03-09,A281820,케이씨텍,소형주→중형주,소형주,중형주,0.00502697,0.00202842,-0.00299855,0.00418463,164423,2926654,688.0,5936.5,5248.4,52.48,1,21650.0,22650.0,0.046189,0.015067,0.031123,1
2023-09-14,2023-03-09,A006220,제주은행,중형주→소형주,중형주,소형주,0.00111642,0.00321148,0.00209506,0.00289248,2926654,164423,8465.3,528.0,-7937.2,-79.37,0,8370.0,8650.0,0.033453,0.015067,0.018386,1
2023-09-14,2023-03-09,A006260,LS,중형주→대형주,중형주,대형주,0.01264603,0.00189991,-0.01074611,0.00960813,2926654,81627209,28119.7,155084.7,126965.0,1269.65,1,94600.0,98000.0,0.035941,0.015067,0.020874,1
2023-09-14,2023-03-09,A001820,삼화콘덴서,중형주→소형주,중형주,소형주,0.00161616,0.00457061,0.00295446,0.00217477,2926654,164423,6364.8,751.5,-5613.3,-56.13,0,37450.0,38050.0,0.016021,0.015067,0.000954,1
2023-09-14,2023-03-09,A011930,신성이엔지,소형주→중형주,소형주,중형주,0.00577363,0.00220918,-0.00356445,0.00417889,164423,2926654,687.1,6465.5,5778.4,57.78,1,2520.0,2500.0,-0.007937,0.015067,-0.023003,0
2023-09-14,2023-03-09,A145990,삼양사,소형주→중형주,소형주,중형주,0.00529183,0.00205873,-0.0032331,0.00513038,164423,2926654,843.6,6025.2,5181.6,51.82,1,46100.0,46500.0,0.008677,0.015067,-0.00639,0
2023-09-14,2023-03-09,A403550,쏘카,중형주→소형주,중형주,소형주,0.00177638,0.00500515,0.00322876,0.00277163,2926654,164423,8111.6,823.0,-7288.6,-72.89,0,13050.0,13210.0,0.012261,0.015067,-0.002806,0
